time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-05-11,28.3,26.0,31.0,,,121.0,9.0,,1007.2,
2016-05-12,27.3,25.0,29.0,,,85.0,11.9,,1005.5,
2016-05-13,27.3,25.0,30.0,3.0,,108.0,16.6,,1008.8,
2016-05-14,28.1,25.0,32.0,0.0,,129.0,16.9,,1010.8,
2016-05-15,26.7,24.0,32.0,0.0,,62.0,14.3,,1012.2,
2016-05-16,26.4,23.0,30.0,,,11.0,12.0,,974.6,
2016-05-17,26.5,22.0,30.0,,,106.0,15.9,,1009.7,
2016-05-18,28.0,23.0,32.0,,,106.0,13.8,,1008.0,
2016-05-19,29.4,27.0,33.0,,,124.0,16.6,,1004.8,
2016-05-20,29.6,27.0,35.0,,,66.0,10.8,,1002.6,
2016-05-21,29.3,26.0,33.0,,,311.0,9.8,,1007.0,
2016-05-22,27.6,27.0,30.0,0.0,,92.0,9.4,,1008.1,
2016-05-23,28.4,26.0,31.0,0.0,,113.0,11.2,,1007.3,
2016-05-24,24.7,24.0,27.0,38.6,,57.0,14.5,,1005.5,
2016-05-25,27.7,23.0,31.0,337.8,,69.0,11.8,,1003.5,
2016-05-26,28.9,27.0,33.0,8.4,,113.0,16.3,,1003.4,
2016-05-27,28.6,26.0,33.0,11.7,,114.0,12.4,,1003.5,
2016-05-28,28.9,26.0,35.0,9.4,,92.0,10.2,,1002.8,
2016-05-29,28.8,26.0,33.0,1.5,,80.0,10.3,,1004.1,
2016-05-30,28.1,26.0,30.0,0.0,,31.0,7.9,,1005.8,
2016-05-31,31.3,27.0,36.0,0.0,,135.0,13.6,,1005.7,
2016-06-01,32.7,28.0,37.0,,,168.0,11.8,,1004.6,
2016-06-02,33.3,28.0,38.0,,,180.0,12.6,,1002.5,
2016-06-03,33.1,29.0,38.0,,,223.0,10.2,,1003.5,
2016-06-04,30.9,27.0,36.0,,,126.0,10.1,,1004.8,
2016-06-05,29.4,27.0,36.0,,,55.0,12.2,,1005.7,
2016-06-06,30.3,26.0,35.0,,,75.0,9.0,,1006.5,
2016-06-07,28.9,26.0,35.0,2.5,,101.0,10.5,,1005.2,
2016-06-08,28.1,26.0,33.0,0.0,,320.0,6.8,,1003.8,
2016-06-09,30.1,26.0,35.0,0.0,,324.0,7.5,,1003.2,
2016-06-10,30.3,27.0,35.0,0.3,,71.0,10.2,,1003.1,
2016-06-11,32.3,28.0,37.0,0.0,,107.0,9.7,,1001.5,
2016-06-12,32.7,29.0,37.0,0.0,,189.0,10.5,,1001.3,
2016-06-13,33.2,28.0,38.0,0.0,,100.0,9.2,,1000.9,
2016-06-14,34.1,29.0,38.0,,,179.0,12.4,,999.2,
2016-06-15,33.7,29.0,39.0,,,193.0,15.2,,1000.3,
2016-06-16,26.5,25.0,31.0,6.4,,343.0,12.6,,1006.4,
2016-06-17,29.0,26.0,33.0,1.8,,69.0,9.9,,1006.4,
2016-06-18,28.7,24.0,36.0,0.0,,97.0,11.7,,1006.3,
